name,symbol,id,guid,date,price,amount
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-03-28,47438.83500000001,4739013.59412013
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-03-29,47536.770000000004,4449903.51645481
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-03-30,47148.795,3680077.07151069
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-03-31,46410.14,3918935.85366007
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-01,45491.43,3434271.06803348
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-02,46431.994999999995,4019035.00710305
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-03,46499.085,2946637.78399567
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-04,46014.869999999995,3541538.8632989
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-05,46285.245,7671351.70417781
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-06,44324.04,6304541.08702544
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-07,43330.575,5536026.91636162
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-08,43052.905,4946555.40958742
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-09,42474.54,3337379.68589584
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-10,42682.035,3396073.77119513
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-11,40826.130000000005,5731184.87235001
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-12,39970.395000000004,5024041.89727758
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-13,40564.955,5150151.35280501
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-14,40545.35,5494127.01135634
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-15,40289.979999999996,4131532.48569276
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-16,40358.545,3189433.87387289
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-17,40083.265,3340442.550098
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-18,39832.8,5409895.65370439
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-19,41172.025,4972505.23281346
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-20,41563.57,4249194.94755335
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-21,41430.615000000005,5470603.30770971
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-22,39992.475000000006,5495355.36924831
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-23,39647.104999999996,4701306.22634222
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-24,39493.865000000005,5282577.83733561
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-25,39412.75,8085468.21369993
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-26,39262.22,7555584.96979585
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-27,38683.11,6798134.08829795
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-28,39639.3,6930073.81994237
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-29,39050.875,5369885.74756691
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-04-30,38197.89,3764940.32351735
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-05-01,38064.880000000005,4016733.53543539
Bitcoin,BTC,1,3fe01468-69a7-4cb2-8606-afbd8e84414d,2022-05-02,38606.634999999995,6371776.48003962
