statusCode,message,crypto_name,eVol24h,eVol30d,cVol24h,cVol30d,txCnt24h,txCnt30d,txFees24h,txFees30d,txFeesMean24h,cVolAdj24h,ret24h,retMTD,retQTD,retYTD,retY1,retY3,retY5,retSI,volat30d,low52w,high52w,splyCurr,splyTotal,splyMax,ath,ts,src,category,type,algorithm
200,OK,KSM,5575590,196843160.0,,,,,,,,,-0.001348,-0.018097,-0.263805,-0.189202,-0.551055,,,-0.950004,0.388247,17.578644,49.073258,8980098.074112,10000000.0,10000000.0,621.71,1695596217683.0,cd,Software Platform,Global computer,dPoS
200,OK,NKN,1400224,90329259.0,,,,,,,,,-0.010458,0.007387,-0.12505,0.081591,-0.076712,,,-0.77676,0.563026,0.071039,0.212443,650000000.0,1000000000.0,1000000000.0,1.44,1695596217683.0,cd,Application token,Decentralized CDN,Custom
200,OK,SHIB,88611627,2749111196.0,,,,,,,,,-0.021686,-0.080916,-0.029014,-0.089947,-0.36301,,,-0.745248,0.361465,5e-06,1.6e-05,589329463252100.8,999983215656586.0,,8.9e-05,1695596217683.0,cd,Currency,Memecoin,PoW
200,OK,SKL,4523694,239055279.0,,,,,,,,,-0.010869,-0.008278,-0.230275,0.087741,-0.432787,,,-0.92934,0.568033,0.019614,0.06956,4699519337.0,5134525034.75288,7000000000.0,1.22,1695596217683.0,cd,Application token,Layer-2 network,PoS
200,OK,SAND,29785128,1134745835.0,,,,,,,,,-0.004934,-0.034732,-0.280953,-0.212843,-0.664611,,,-0.940729,0.418561,0.276555,0.985811,2064931926.223323,3000000000.0,3000000000.0,8.4,1695596217683.0,cd,Application token,Virtual world,
200,OK,UST,10387327,174429360.0,,,,,,,,,0.00608,0.063318,0.04788,-0.343683,-0.563578,,,-0.987195,0.561756,0.008221,0.06267,9787751921.39091,9793681321.91404,,1.092,1695596217683.0,cd,Stablecoin,Digital fiat,
200,OK,AVAX,81559158,3365146116.0,,,,,,,,,-0.002852,-0.109106,-0.314331,-0.181611,-0.49713,,,-0.925458,0.363342,8.708039,22.784863,354067560.498072,431443735.209716,720000000.0,144.96,1695596217683.0,cd,Software platform,Global computer,PoS
200,OK,IOTX,1807758,123575243.0,,,,,,,,,0.005764,0.091052,-0.244033,-0.277032,-0.484784,,,-0.879749,0.485105,0.01315,0.03893,9444039892.0,9496266827.32,9496266827.32,0.255593,1695596217683.0,cd,Application token,IoT platform,
200,OK,AXS,53765885,836420367.0,,,,,,,,,0.015287,-0.035539,-0.239098,-0.250576,-0.650712,,,-0.952881,0.578184,4.080546,14.849787,131494928.933829,270000000.0,270000000.0,164.9,1695596217683.0,cd,Application token,Decentralized virtual goods,
200,OK,XYO,258791,10275909.0,,,,,,,,,-0.006903,-0.05762,-0.18565,-0.087052,-0.5955,,,-0.921864,0.316382,0.002596,0.010269,13931216938.0113,13931216938.0113,13931216938.0113,0.081391,1695596217683.0,cd,Application token,Decentralized geospatial data,
200,OK,ANKR,17289619,286893121.0,,,,,,,,,-0.024991,0.05422,-0.140987,0.292403,-0.345916,,,-0.808511,0.522991,0.0146,0.056928,10000000000.0,10000000000.0,10000000000.0,0.213513,1695596217683.0,cd,Application token,Decentralized cloud computing,
200,OK,CHZ,19908432,767030646.0,,,,,,,,,-0.010216,-0.046549,-0.236873,-0.422542,-0.782783,,,-0.790022,0.401469,0.054692,0.296705,6975647158.46,8888888888.0,8888888888.0,0.878633,1695596217683.0,cd,Application token,Tokenized sports exchange,
200,OK,LPT,7808466,1020735383.0,,,358.0,36394.0,,,,,-0.026118,-0.205353,0.149857,0.207901,-0.414916,,,-0.843234,0.975109,3.48836,11.871452,29116749.61027,29116749.61027,29116749.61027,99.03,1695596217683.0,cd,Application token,Decentralized video streaming,
200,OK,COTI,2469619,98334892.0,,,,,,,,,0.003502,0.143429,-0.162276,-0.193883,-0.596191,,,-0.85965,0.570978,0.036667,0.130531,1255522196.67,2000000000.0,2000000000.0,0.668634,1695596217683.0,cd,Application token,Stablecoin platform,
200,OK,KEEP,56203,7039414.0,,,,,,,,,-0.00081,0.023624,-0.193477,0.121417,-0.409115,,,-0.858556,0.707467,0.069566,0.301083,549716300.268589,1000000000.0,1000000000.0,6.1,1695596217683.0,cd,Application token,Confidential smart contracts,
200,OK,GALA,283306475,12890851990.0,,,,,,,,,-0.00258,-0.287467,-0.451016,-0.191629,-0.677826,,,-0.945427,0.676641,0.012926,0.062893,26410576105.6788,26410576105.6788,50000000000.0,0.824837,1695596217683.0,cd,,,
200,OK,CRO,6665183,172151613.0,,,283.0,9012.0,,,,,0.002185,0.010964,-0.097041,-0.086531,-0.56868,,,-0.888484,0.285389,0.048301,0.159726,26284875650.9163,30000000000.0,,0.965407,1695596217683.0,cd,,,
200,OK,ACHP,6080415,301221198.0,,,,,,,,,-0.012494,0.134403,-0.235929,0.966314,0.313904,,,-0.636677,0.721593,0.007204,0.050894,4943691067.145604,10000000000.0,10000000000.0,0.198666,1695596217683.0,cd,,,
200,OK,JASMY,19429939,607448424.0,,,,,,,,,0.010003,0.028838,-0.103581,0.274464,-0.469575,,,-0.903584,0.465886,0.002725,0.008362,48419999999.3058,50000000000.0,50000000000.0,4.79,1695596217683.0,cd,,,
200,OK,SLP,6885790,146533011.0,,,,,,,,,0.013238,-0.012102,-0.172156,-0.319297,-0.581284,,,-0.885074,0.393677,0.001306,0.004256,41502562125.0,,,0.399727,1695596217683.0,cd,,,
200,OK,APE,26953623,1414986366.0,,,,,,,,,-0.009999,-0.221845,-0.497547,-0.691472,-0.797119,,,-0.918091,0.442418,1.063857,6.407681,368593750.0,1000000000.0,1000000000.0,26.7,1695596217683.0,cd,,,
200,OK,BUSD,1236172569,60894871959.0,,,454.0,20950.0,,,,,-0.001236,-0.00291,0.003489,0.002901,0.003643,,,0.00286,0.022681,0.97394,1.0472,2381674743.12,2381674743.12,,1.15,1695596217683.0,cd,,,
200,OK,CAKE,10383646,450570637.0,,,,,,,,,-0.002007,-0.081939,-0.264325,-0.639255,-0.74563,,,-0.847161,0.336817,1.132745,5.385478,224776858.680293,396801871.861216,750000000.0,43.96,1695596217683.0,cd,,,
200,OK,EGLD,7904001,383640425.0,,,,,,,,,-0.022313,-0.060249,-0.293578,-0.248552,-0.491993,,,-0.804094,0.473961,22.327218,63.962365,26000468.0,26005620.0,31415926.0,545.64,1695596217683.0,cd,,,
200,OK,ENS,6789105,233160314.0,,,,,,,,,0.007043,-0.049616,-0.192059,-0.306743,-0.453403,,,-0.610136,0.492492,7.020334,20.335395,25783233.343097,100000000.0,100000000.0,83.4,1695596217683.0,cd,,,
200,OK,FTM,22510257,1252766614.0,,,,,,,,,-0.002034,-0.064313,-0.37994,-0.055715,-0.180148,,,-0.744322,0.426721,0.163996,0.654729,2803634835.52659,3175000000.0,3175000000.0,3.46,1695596217683.0,cd,,,
200,OK,FTT,75995279,563566753.0,,,217.0,4187.0,,,,,0.077229,0.205143,-0.374139,0.447126,-0.948577,,,-0.966145,0.632423,0.775858,26.676836,,328895103.813207,328895103.813207,84.18,1695596217683.0,cd,,,
200,OK,HBAR,13644357,979700298.0,,,,,,,,,-0.034169,-0.042221,0.003194,0.385045,-0.189776,,,-0.628803,0.451164,0.035736,0.098731,33358054753.813,50000000000.0,50000000000.0,0.569229,1695596217683.0,cd,,,
200,OK,MBOX,7619806,55929504.0,,,,,,,,,-0.008687,-0.063797,-0.223724,-0.375403,-0.647855,,,-0.877327,0.341919,0.226781,0.725689,212519625.0,396767856.031073,1000000000.0,15.44,1695596217683.0,cd,,,
200,OK,MINA,3427033,155418279.0,,,,,,,,,-0.008645,0.01437,-0.212638,-0.114961,-0.354793,,,-0.78456,0.354817,0.357034,1.23128,973609235.840039,1077427612.84004,,9.09,1695596217683.0,cd,,,
200,OK,MOVR,3031673,54661194.0,,,,,,,,,-0.000953,-0.047819,-0.298064,-0.352268,-0.630964,,,-0.895666,0.525177,3.713649,13.101332,8159912.0,10979039.0,10941549.0,494.26,1695596217683.0,cd,,,
200,OK,NEAR,26178150,1439174912.0,,,,,,,,,-0.008722,-0.041997,-0.196876,-0.112274,-0.704077,,,-0.900185,0.3477,0.983571,3.82197,941671517.686093,1000000000.0,,20.44,1695596217683.0,cd,,,
200,OK,NEXO,1134160,56285611.0,,,,,,,,,-0.006446,-0.044161,-0.131671,-0.145917,-0.397525,,,-0.72224,0.298483,0.525458,1.065672,560000010.0064,1000000000.0,1000000000.0,4.07,1695596217683.0,cd,,,
200,OK,POLS,803224,29486656.0,,,,,,,,,0.016062,0.018504,-0.173595,-0.246134,-0.450575,,,-0.748072,0.430866,0.244334,0.727571,99301432.0,100000000.0,100000000.0,7.51,1695596217683.0,cd,,,
200,OK,QNT,9279680,419111997.0,,,1127.0,36236.0,,,,,-0.022373,-0.105808,-0.172845,-0.158456,-0.221219,,,-0.027523,0.279763,88.44802,226.689025,14544176.164091,14612493.0,14612493.0,427.42,1695596217683.0,cd,,,
200,OK,QUICK,475533,2474654.65,,,,,,,,,0.053795,0.022991,-0.999147,-0.999017,-0.999209,,,-0.999707,0.559665,0.036815,148.128229,607000.0,1000000.0,1000000.0,1590.57,1695596217683.0,cd,,,
200,OK,RUNE,41745880,2392694966.0,,,,,,,,,-0.021701,0.118042,0.638449,0.322607,0.02706,,,-0.748523,0.861981,0.779614,2.061146,300700561.0,500000000.0,500000000.0,20.87,1695596217683.0,cd,,,
200,OK,RVN,2899775,129617775.0,,,,,,,,,-0.016297,-0.005143,-0.255196,-0.193491,-0.624641,,,-0.657506,0.367684,0.013947,0.041758,11907968088.8129,11907780693.8129,,0.285218,1695596217683.0,cd,,,
200,OK,WAXP,3204655,60164943.0,,,,,,,,,-0.026023,0.064358,-0.112395,0.000935,-0.524038,,,-0.791398,0.432505,0.036329,0.098001,3359904693.88208,3770303327.0,3770303327.0,2.77,1695596217683.0,cd,,,
200,OK,WRX,680988,21205772.0,,,,,,,,,-0.02424,-0.061734,0.015548,-0.298935,-0.570147,,,-0.812307,0.463491,0.076792,0.238154,456517027.331867,1000000000.0,,5.88,1695596217683.0,cd,,,
200,OK,XEC,9203860,235122010.0,,,,,,,,,-0.013954,0.018708,-0.389392,0.115892,-0.388284,,,-0.658861,0.72283,1.8e-05,4.9e-05,19507485923093.0,21000000000000.0,21000000000000.0,0.00038,1695596217683.0,cd,,,
200,OK,CEL,808664,26453254.0,,,,,,,,,0.028806,0.11907,-0.099133,-0.67896,-0.908443,,,-0.725967,0.752063,0.103382,32.101222,423415980.3475,692753441.4971,,32.101222,1695596217683.0,cd,,,
200,OK,ALPACA,1077890,40268282.0,,,,,,,,,-0.021761,0.003987,-0.089873,-0.445393,-0.51764,,,-0.366887,0.347853,0.126782,0.353086,150748924.403288,150748924.403288,188000000.0,8.78,1695596217683.0,cd,,,
200,OK,AUDIO,3568897,160096555.0,,,,,,,,,-0.009734,-0.013451,-0.187685,0.167347,-0.323175,,,-0.523335,0.523799,0.122063,0.505376,1113298607.0,1188006019.41203,1188006019.41203,4.95,1695596217683.0,cd,,,
200,OK,AVA,1559316,34732391.0,,,,,,,,,-0.000488,-0.074729,-0.030699,-0.129352,-0.399956,,,-0.132578,0.477275,0.394035,0.855751,52425132.0,61383832.0,,6.45,1695596217683.0,cd,,,
200,OK,CHR,2493114,320819504.0,,,,,,,,,-0.004532,0.064429,-0.26557,-0.113784,-0.380709,,,-0.44169,0.842993,0.081715,0.237643,582296409.423021,582296409.423021,1000000000.0,1.49,1695596217683.0,cd,,,
